barcode,sample_type,cancer_status
TCGA-EE-A185-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A20B-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A20C-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A20F-06A-21R-A18S-07,Metastatic,Tumor
TCGA-EE-A20H-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A20I-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A29A-06A-12R-A18U-07,Metastatic,Tumor
TCGA-EE-A29B-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A29C-06A-21R-A18S-07,Metastatic,Tumor
TCGA-EE-A29D-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29E-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29G-06A-12R-A18T-07,Metastatic,Tumor
TCGA-EE-A29H-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29L-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29M-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29N-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29P-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29Q-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29R-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29S-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29T-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A29V-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A29W-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A29X-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A0-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A1-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A2-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A5-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2A6-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GB-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GC-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GD-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GE-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GH-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GI-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2GJ-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A2GK-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GL-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GM-06B-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GN-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GO-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GP-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GR-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GS-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GT-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2GU-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2M5-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2M6-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2M7-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A2M8-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MC-06A-12R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MD-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2ME-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2MF-06A-11R-A21D-07,Metastatic,Tumor
TCGA-EE-A2MG-06A-11R-A18T-07,Metastatic,Tumor
TCGA-EE-A2MH-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MI-06A-11R-A18U-07,Metastatic,Tumor
TCGA-EE-A2MJ-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MK-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2ML-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MM-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MN-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MP-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MQ-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MR-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MS-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MT-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A2MU-06A-21R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AA-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AB-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AC-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AD-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AE-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AF-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AG-06A-31R-A18S-07,Metastatic,Tumor
TCGA-EE-A3AH-06A-11R-A18S-07,Metastatic,Tumor
TCGA-EE-A3J3-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3J4-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3J5-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3J7-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3J8-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3JA-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3JB-06A-11R-A21D-07,Metastatic,Tumor
TCGA-EE-A3JD-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3JE-06A-11R-A20F-07,Metastatic,Tumor
TCGA-EE-A3JH-06A-11R-A21D-07,Metastatic,Tumor
TCGA-EE-A3JI-06A-11R-A21D-07,Metastatic,Tumor
TCGA-ER-A193-06A-12R-A18S-07,Metastatic,Tumor
TCGA-ER-A195-06A-11R-A18U-07,Metastatic,Tumor
TCGA-ER-A197-06A-32R-A18S-07,Metastatic,Tumor
TCGA-ER-A198-06A-11R-A18T-07,Metastatic,Tumor
TCGA-ER-A199-06A-11R-A18T-07,Metastatic,Tumor
TCGA-ER-A19A-06A-21R-A18U-07,Metastatic,Tumor
TCGA-ER-A19B-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A19C-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A19D-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A19E-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A19F-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A19G-06A-11R-A18U-07,Metastatic,Tumor
TCGA-ER-A19H-06A-12R-A18S-07,Metastatic,Tumor
TCGA-ER-A19J-06A-11R-A18S-07,Metastatic,Tumor
TCGA-ER-A19L-06A-12R-A18S-07,Metastatic,Tumor
TCGA-ER-A19M-06A-61R-A239-07,Metastatic,Tumor
TCGA-ER-A19N-06A-11R-A18S-07,Metastatic,Tumor
