id	filename	md5	size	state
1e47e2ed-59c1-4f38-898c-3f29b851247f	1e47e2ed-59c1-4f38-898c-3f29b851247f/4fc05c1a-63b9-415b-ad42-68b013e21b21.rna_seq.augmented_star_gene_counts.tsv	491745d49e9e5ae0fb0ad314b22692fc	4230134	validated
1e7cfce7-21c7-477c-9494-7fdeba9a846d	1e7cfce7-21c7-477c-9494-7fdeba9a846d/3aa50a90-3e9b-4b72-aa81-7ea3bc7861a3.rna_seq.augmented_star_gene_counts.tsv	46f98e357f721162eed12035617c219d	4246313	validated
1f8cef65-ab1f-44cf-b706-7f1f25926dc0	1f8cef65-ab1f-44cf-b706-7f1f25926dc0/e0b149bb-4467-4928-a80b-ef3ac97ddbd2.rna_seq.augmented_star_gene_counts.tsv	edb84c09c34ab33ff63591d3eb4c52d5	4241382	validated
20b7751f-9977-409e-a59e-1db15810eb04	20b7751f-9977-409e-a59e-1db15810eb04/7645a3b1-639d-4677-8bcf-c16df24fcc2b.rna_seq.augmented_star_gene_counts.tsv	dc5a6f1aec3be77789202f99a1827a48	4223745	validated
21e2be3e-592f-4120-b234-cefa0e34427a	21e2be3e-592f-4120-b234-cefa0e34427a/09f758e5-6be1-4f29-ac92-869d92f8fbcf.rna_seq.augmented_star_gene_counts.tsv	8dbd3c8abdf1f983e40388b9b0cec993	4223223	validated
226f2102-0ca6-4d88-803e-dfd4ed9af516	226f2102-0ca6-4d88-803e-dfd4ed9af516/b03d2223-38c1-4bb3-be8b-27db05f87b66.rna_seq.augmented_star_gene_counts.tsv	3ef255fb4104c045676887d6c02ab1ce	4239229	validated
2348b25a-1aaa-4554-b181-a431fcb7f5a0	2348b25a-1aaa-4554-b181-a431fcb7f5a0/4245e942-3439-4e98-9733-b0b8ac25ad56.rna_seq.augmented_star_gene_counts.tsv	ee0d00a150b199b4149039aa83d30b9f	4240538	validated
245f93b1-4289-4485-ace9-6aea143be0c9	245f93b1-4289-4485-ace9-6aea143be0c9/c2ccc6b3-34d8-47c5-9367-cc53aad1622e.rna_seq.augmented_star_gene_counts.tsv	7eb5d55a7609be43268323206c485a70	4249072	validated
25091999-a496-480b-a60c-e43703ecb9d4	25091999-a496-480b-a60c-e43703ecb9d4/3711c9b4-a52b-4786-8bf8-5b6a59605c16.rna_seq.augmented_star_gene_counts.tsv	683ae2a4e659b0ed1539333ca44ebb8a	4236100	validated
264c2801-550b-4087-bd92-8157753a226b	264c2801-550b-4087-bd92-8157753a226b/b8f68a8a-46f3-4c79-8474-13815946d4f9.rna_seq.augmented_star_gene_counts.tsv	67be23a30da6cc1acf4bf2612f2bfd37	4242467	validated
